blend,ged,gedNormalization
amtrak,12,0.7058823529411765
bangel,4,0.4
bash,3,0.42857142857142855
beefaroni,3,0.25
belieber,6,0.42857142857142855
bit,8,0.7272727272727273
blaxican,4,0.3333333333333333
bollywood,6,0.4
bootylicious,2,0.14285714285714285
botox,7,0.5833333333333334
brainiac,3,0.2727272727272727
bromance,2,0.2
brunch,8,0.5714285714285714
buppie,5,0.45454545454545453
californication,6,0.2857142857142857
cama,6,0.6
camcorder,5,0.35714285714285715
cheeseburger,3,0.2
chillax,3,0.3
clash,4,0.4444444444444444
clink,4,0.4444444444444444
clois,4,0.4444444444444444
cosplay,4,0.36363636363636365
crackberry,5,0.3333333333333333
cranapple,5,0.35714285714285715
crangrape,5,0.35714285714285715
crooklyn,5,0.38461538461538464
crunk,5,0.5
daycation,2,0.18181818181818182
dentro,3,0.3333333333333333
dickhole,3,0.2727272727272727
dout,1,0.2
dumpster,4,0.3333333333333333
ebonics,5,0.4166666666666667
escalator,7,0.4375
fantabulous,6,0.35294117647058826
fayettenam,9,0.47368421052631576
fedex,9,0.6428571428571429
femcee,5,0.45454545454545453
fivehead,4,0.3333333333333333
flunk,5,0.5
fooligan,4,0.3333333333333333
frappuccino,5,0.3125
frohawk,2,0.2222222222222222
fruitopia,2,0.18181818181818182
fucktard,5,0.38461538461538464
fugly,3,0.375
funemployment,2,0.13333333333333333
futch,5,0.5
gaydar,2,0.25
ginormous,7,0.4375
glambert,3,0.2727272727272727
governator,8,0.4444444444444444
gravatar,15,0.8333333333333334
greige,3,0.3333333333333333
gunk,5,0.5555555555555556
hangry,5,0.45454545454545453
harmony,7,0.5384615384615384
henny,5,0.5
herstory,2,0.2
hijack,7,0.5384615384615384
hir,3,0.5
hollyweird,4,0.2857142857142857
homeboy,4,0.36363636363636365
hotlanta,2,0.2
hse,2,0.4
hunty,6,0.6666666666666666
infomercial,10,0.47619047619047616
irregardless,10,0.45454545454545453
ital,2,0.3333333333333333
itouch,3,0.3333333333333333
jav,7,0.7
jedward,3,0.3
jelena,6,0.5
jewfro,1,0.14285714285714285
jorts,6,0.5454545454545454
kendra,7,0.5384615384615384
limon,4,0.4444444444444444
longrange,0,0.0
macbook,10,0.5882352941176471
macon,6,0.5454545454545454
mahoosive,7,0.6363636363636364
malaysia,2,0.2
manny,4,0.4444444444444444
manwich,4,0.36363636363636365
mar,12,0.8
medicaid,2,0.2
meggings,3,0.2727272727272727
melatonin,7,0.4375
meld,4,0.5
merm,3,0.42857142857142855
metaverse,3,0.25
metroplex,10,0.5263157894736842
microsoft,12,0.5714285714285714
mimsy,10,0.6666666666666666
minja,6,0.5454545454545454
modem,15,0.75
moped,5,0.5
motel,5,0.5
motown,3,0.3333333333333333
mozilla,7,0.5
muppet,10,0.625
naco,5,0.5555555555555556
neither,2,0.2222222222222222
netbook,9,0.5625
newbie,3,0.42857142857142855
nizzle,4,0.4
nor,2,0.4
overstand,5,0.35714285714285715
parkway,4,0.36363636363636365
payola,5,0.45454545454545453
planeteer,6,0.4
pleather,6,0.42857142857142855
podcast,5,0.4166666666666667
poofy,4,0.4444444444444444
popsicle,2,0.2222222222222222
prettiful,6,0.4
prissy,3,0.3333333333333333
purrfect,3,0.2727272727272727
screamo,2,0.2222222222222222
sexcapade,2,0.18181818181818182
sexpert,2,0.2222222222222222
sext,3,0.42857142857142855
sexting,3,0.3
shag,6,0.6
shamwow,4,0.4
shamy,5,0.5
shart,3,0.375
shero,2,0.2857142857142857
shim,2,0.3333333333333333
shortrange,0,0.0
shwasted,7,0.4666666666666667
sial,0,0.0
sitcom,9,0.6
skank,5,0.5
skeezy,7,0.5384615384615384
skort,5,0.5
skunk,7,0.5833333333333334
slithy,5,0.5
slore,4,0.4444444444444444
smash,4,0.4444444444444444
smexy,4,0.4444444444444444
smush,4,0.4444444444444444
snarf,5,0.5
snark,6,0.5454545454545454
snazzy,5,0.45454545454545453
soca,7,0.6363636363636364
sony,6,0.6
spanglish,5,0.35714285714285715
spork,4,0.4444444444444444
spunk,4,0.4444444444444444
stan,6,0.6
steez,5,0.5555555555555556
sunlight,4,0.3333333333333333
telethon,9,0.5294117647058824
teme,13,0.7647058823529411
tenderoni,5,0.35714285714285715
texting,6,0.46153846153846156
thon,3,0.42857142857142855
travelocity,3,0.21428571428571427
tribeca,8,0.6153846153846154
tween,6,0.5454545454545454
tweep,7,0.5833333333333334
tweeple,6,0.46153846153846156
tweetheart,5,0.3333333333333333
tweetup,4,0.36363636363636365
twerk,4,0.4444444444444444
twitterati,5,0.3333333333333333
vajazzle,7,0.5
verizon,7,0.5
vitamin,3,0.3
vlog,5,0.5555555555555556
wanksta,8,0.5714285714285714
webinar,3,0.3
webisode,2,0.2
whatsapp,1,0.14285714285714285
wigger,5,0.45454545454545453
wikipedia,7,0.4375
workaholic,3,0.23076923076923078
wuss,4,0.5
wussy,4,0.4444444444444444
yed,7,0.7
yello,3,0.375
